City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Adrar,MR,20.5022,-10.0711,96.55,11,62,8.9,broken clouds
80,Puerto Ayora,EC,-0.7393,-90.3518,80.6,78,20,9.22,few clouds
81,Cockburn Town,TC,21.4612,-71.1419,74.82,74,93,25.28,overcast clouds
82,Thompson,CA,55.7435,-97.8558,28.4,46,20,2.3,few clouds
83,Gannan,CN,47.9147,123.5031,43.16,40,82,8.05,broken clouds
84,Buenos Aires,AR,-34.6132,-58.3772,79.0,83,20,10.36,few clouds
85,Airai,TL,-8.9266,125.4092,60.26,95,100,4.7,overcast clouds
86,Saskylakh,RU,71.9167,114.0833,-26.75,100,23,3.4,few clouds
87,Butaritari,KI,3.0707,172.7902,81.34,79,40,10.33,scattered clouds
88,Sinnamary,GF,5.3833,-52.95,79.75,85,100,10.07,overcast clouds
89,Port Elizabeth,ZA,-33.918,25.5701,66.2,82,20,25.32,few clouds
90,Arrifes,PT,37.7667,-25.7,59.0,94,40,14.97,scattered clouds
91,Esik,KZ,43.3552,77.4525,48.2,49,75,8.95,smoke
92,Talnakh,RU,69.4865,88.3972,7.32,77,99,10.96,overcast clouds
93,Owando,CG,-0.4819,15.8999,80.47,66,50,1.83,light rain
94,Sur,OM,22.5667,59.5289,85.68,46,0,8.77,clear sky
95,Beisfjord,NO,68.3751,17.5988,32.0,74,75,8.05,broken clouds
96,Arraial Do Cabo,BR,-22.9661,-42.0278,84.2,65,40,11.5,scattered clouds
97,Hermanus,ZA,-34.4187,19.2345,69.01,85,85,1.01,light rain
98,Warrnambool,AU,-38.3833,142.4833,54.81,77,51,6.8,broken clouds
99,Provideniya,RU,64.3833,-173.3,-6.05,88,29,7.36,scattered clouds
100,Ponta Do Sol,PT,32.6667,-17.1,64.4,63,75,4.61,broken clouds
101,Linjiang,CN,41.8069,126.9078,34.36,48,0,1.99,clear sky
102,Souillac,MU,-20.5167,57.5167,82.0,74,4,8.01,clear sky
103,Puerto Escondido,MX,15.85,-97.0667,86.0,79,1,8.05,clear sky
